Edad;TipoTrabajo;NivelEducativo;AnnosEducacion;EstadoCivil;Ocupacion;Sexo;HorasSemanales;PaisOrigen;Ingresos
18;Self-emp-not-inc;HS-grad;9;Never-married;Farming-fishing;Male;40;United-States;<=50K.
41;Local-gov;Bachelors;13;Separated;Prof-specialty;Female;40;United-States;<=50K.
48;Private;HS-grad;9;Never-married;Machine-op-inspct;Male;40;Dominican-Republic;<=50K.
35;Private;HS-grad;9;Married-civ-spouse;Transport-moving;Male;90;United-States;>50K.
41;State-gov;Assoc-voc;11;Married-civ-spouse;Exec-managerial;Male;40;United-States;<=50K.
23;Private;HS-grad;9;Never-married;Craft-repair;Female;20;United-States;<=50K.
32;State-gov;Bachelors;13;Married-civ-spouse;Protective-serv;Male;45;United-States;>50K.
33;Private;HS-grad;9;Never-married;Craft-repair;Male;40;El-Salvador;<=50K.
58;Private;HS-grad;9;Married-civ-spouse;Machine-op-inspct;Male;40;United-States;<=50K.
22;Private;Some-college;10;Never-married;Sales;Male;65;United-States;<=50K.
33;Private;Some-college;10;Divorced;Other-service;Female;50;United-States;<=50K.
42;Self-emp-not-inc;Prof-school;15;Married-civ-spouse;Prof-specialty;Male;38;United-States;>50K.
25;Private;HS-grad;9;Never-married;Adm-clerical;Female;40;United-States;<=50K.
39;Private;HS-grad;9;Married-civ-spouse;Prof-specialty;Male;50;United-States;>50K.
35;Private;Bachelors;13;Married-civ-spouse;Sales;Male;45;United-States;>50K.
50;Private;Some-college;10;Married-civ-spouse;Adm-clerical;Female;38;United-States;>50K.
49;Local-gov;Masters;14;Married-civ-spouse;Exec-managerial;Male;50;United-States;>50K.
25;Local-gov;Bachelors;13;Never-married;Prof-specialty;Male;40;United-States;<=50K.
47;Federal-gov;Some-college;10;Divorced;Adm-clerical;Female;40;United-States;<=50K.
46;Private;Some-college;10;Married-civ-spouse;Exec-managerial;Female;40;United-States;>50K.
42;State-gov;Assoc-acdm;12;Divorced;Prof-specialty;Male;40;United-States;<=50K.
37;Private;11th;7;Never-married;Transport-moving;Male;60;United-States;>50K.
25;Private;Bachelors;13;Never-married;Craft-repair;Male;40;Mexico;<=50K.
29;Private;10th;6;Married-civ-spouse;Craft-repair;Male;40;United-States;<=50K.
26;Private;Some-college;10;Never-married;Sales;Male;45;United-States;<=50K.
26;?;Some-college;10;Never-married;?;Female;40;United-States;<=50K.
45;Self-emp-inc;Bachelors;13;Married-civ-spouse;Exec-managerial;Male;40;United-States;>50K.
34;Private;HS-grad;9;Separated;Exec-managerial;Female;30;United-States;<=50K.
33;Federal-gov;Assoc-acdm;12;Never-married;Adm-clerical;Female;40;United-States;<=50K.
43;Private;Bachelors;13;Married-civ-spouse;Exec-managerial;Male;40;United-States;>50K.
28;Private;HS-grad;9;Married-civ-spouse;Craft-repair;Male;45;United-States;<=50K.
51;Self-emp-not-inc;Some-college;10;Married-civ-spouse;Farming-fishing;Male;75;United-States;<=50K.
21;Private;Some-college;10;Never-married;Other-service;Female;35;United-States;<=50K.
23;Private;Assoc-acdm;12;Never-married;Other-service;Female;35;United-States;<=50K.
30;Private;HS-grad;9;Never-married;Tech-support;Female;40;United-States;<=50K.
46;Private;Masters;14;Married-civ-spouse;Exec-managerial;Male;45;United-States;>50K.
38;Self-emp-inc;HS-grad;9;Never-married;Farming-fishing;Male;50;United-States;<=50K.
20;Private;HS-grad;9;Never-married;Sales;Male;40;United-States;<=50K.
36;Private;Bachelors;13;Married-civ-spouse;Prof-specialty;Male;50;United-States;>50K.
37;Self-emp-not-inc;Prof-school;15;Married-civ-spouse;Prof-specialty;Male;50;United-States;>50K.
44;Local-gov;Masters;14;Never-married;Prof-specialty;Male;42;United-States;<=50K.
33;Private;HS-grad;9;Married-civ-spouse;Craft-repair;Male;40;United-States;>50K.
45;Local-gov;Bachelors;13;Never-married;Exec-managerial;Male;40;United-States;<=50K.
47;Private;Some-college;10;Married-civ-spouse;Craft-repair;Male;40;United-States;<=50K.
54;Private;HS-grad;9;Married-civ-spouse;Craft-repair;Male;40;United-States;>50K.
17;Private;10th;6;Never-married;Other-service;Male;30;United-States;<=50K.
43;Private;HS-grad;9;Married-civ-spouse;Exec-managerial;Female;36;Portugal;>50K.
45;Private;Bachelors;13;Widowed;Prof-specialty;Female;50;United-States;>50K.
37;Private;Some-college;10;Never-married;Adm-clerical;Female;40;United-States;<=50K.
44;Local-gov;Assoc-voc;11;Married-civ-spouse;Craft-repair;Male;40;United-States;>50K.
55;Local-gov;Masters;14;Widowed;Prof-specialty;Female;50;United-States;<=50K.
41;Private;HS-grad;9;Married-civ-spouse;Machine-op-inspct;Male;48;United-States;<=50K.
23;Private;Bachelors;13;Never-married;Adm-clerical;Female;40;United-States;<=50K.
38;Private;Some-college;10;Never-married;Adm-clerical;Female;40;United-States;<=50K.
23;Private;Bachelors;13;Never-married;Handlers-cleaners;Female;40;Cuba;<=50K.
35;Private;HS-grad;9;Married-civ-spouse;Craft-repair;Male;40;United-States;>50K.
18;Private;11th;7;Never-married;Exec-managerial;Male;20;United-States;<=50K.
47;Private;Assoc-voc;11;Married-civ-spouse;Other-service;Male;40;United-States;<=50K.
25;Private;Some-college;10;Never-married;Prof-specialty;Female;8;United-States;<=50K.
41;Self-emp-not-inc;HS-grad;9;Married-civ-spouse;Exec-managerial;Male;50;United-States;<=50K.
23;Private;Some-college;10;Never-married;Adm-clerical;Female;24;Vietnam;<=50K.
41;Private;HS-grad;9;Married-civ-spouse;Adm-clerical;Female;40;United-States;<=50K.
26;Private;Some-college;10;Married-civ-spouse;Exec-managerial;Male;50;United-States;<=50K.
30;Local-gov;Some-college;10;Never-married;Adm-clerical;Male;40;United-States;<=50K.
42;Private;Some-college;10;Married-civ-spouse;Sales;Male;40;United-States;>50K.
35;Private;HS-grad;9;Divorced;Exec-managerial;Female;40;United-States;<=50K.
28;?;Bachelors;13;Never-married;?;Male;18;United-States;<=50K.
29;Private;Some-college;10;Separated;Tech-support;Female;40;United-States;<=50K.
21;Private;Some-college;10;Married-spouse-absent;Adm-clerical;Female;15;United-States;<=50K.
48;State-gov;Masters;14;Divorced;Prof-specialty;Male;40;United-States;>50K.
44;Self-emp-not-inc;HS-grad;9;Divorced;Transport-moving;Male;60;United-States;<=50K.
34;Local-gov;9th;5;Never-married;Other-service;Male;40;United-States;<=50K.
19;Private;HS-grad;9;Never-married;Other-service;Female;25;United-States;<=50K.
32;Private;Some-college;10;Divorced;Craft-repair;Male;40;United-States;>50K.
31;State-gov;Assoc-acdm;12;Separated;Other-service;Female;40;United-States;<=50K.
25;Private;HS-grad;9;Married-civ-spouse;Handlers-cleaners;Male;40;United-States;<=50K.
47;Federal-gov;HS-grad;9;Married-civ-spouse;Adm-clerical;Male;40;United-States;>50K.
46;Federal-gov;11th;7;Widowed;Adm-clerical;Female;40;United-States;<=50K.
18;Private;12th;8;Never-married;Adm-clerical;Male;40;United-States;<=50K.
31;Private;Some-college;10;Married-civ-spouse;Adm-clerical;Female;20;United-States;<=50K.
28;State-gov;HS-grad;9;Married-civ-spouse;Adm-clerical;Female;40;United-States;<=50K.
38;Private;HS-grad;9;Married-civ-spouse;Machine-op-inspct;Male;48;United-States;>50K.
33;Self-emp-inc;HS-grad;9;Married-civ-spouse;Craft-repair;Male;40;United-States;>50K.
17;?;10th;6;Never-married;?;Female;15;United-States;<=50K.
41;Private;Assoc-voc;11;Married-civ-spouse;Exec-managerial;Male;40;United-States;>50K.
46;Private;Some-college;10;Married-civ-spouse;Sales;Male;40;United-States;>50K.
38;Local-gov;Some-college;10;Married-civ-spouse;Prof-specialty;Male;44;United-States;<=50K.
24;Private;Bachelors;13;Never-married;Sales;Male;60;United-States;<=50K.
49;Private;HS-grad;9;Married-civ-spouse;Machine-op-inspct;Male;40;United-States;>50K.
60;Federal-gov;Some-college;10;Divorced;Prof-specialty;Female;40;United-States;<=50K.
44;Private;Bachelors;13;Married-civ-spouse;Sales;Male;60;United-States;>50K.
63;Self-emp-inc;Assoc-voc;11;Married-civ-spouse;Exec-managerial;Male;40;United-States;>50K.
40;Private;HS-grad;9;Married-civ-spouse;Sales;Male;60;United-States;>50K.
45;Self-emp-inc;Some-college;10;Married-civ-spouse;Exec-managerial;Male;50;United-States;>50K.
49;Private;Some-college;10;Married-civ-spouse;Adm-clerical;Male;50;United-States;>50K.
36;Private;HS-grad;9;Divorced;Sales;Female;40;United-States;<=50K.
65;Local-gov;HS-grad;9;Married-civ-spouse;Other-service;Male;8;United-States;<=50K.
41;Private;Bachelors;13;Widowed;Exec-managerial;Male;20;United-States;<=50K.
25;Private;Masters;14;Separated;Other-service;Female;40;United-States;<=50K.
20;?;Some-college;10;Never-married;?;Female;35;United-States;<=50K.
60;Private;Assoc-voc;11;Widowed;Adm-clerical;Male;40;United-States;<=50K.
17;Local-gov;11th;7;Never-married;Prof-specialty;Female;20;Puerto-Rico;<=50K.
28;Private;Assoc-acdm;12;Married-civ-spouse;Exec-managerial;Female;16;United-States;>50K.
31;Private;Assoc-acdm;12;Never-married;Craft-repair;Male;50;United-States;<=50K.
47;Private;Masters;14;Never-married;Prof-specialty;Female;35;United-States;<=50K.
45;Self-emp-not-inc;Some-college;10;Married-civ-spouse;Transport-moving;Male;45;United-States;<=50K.
51;Private;Bachelors;13;Never-married;Prof-specialty;Male;40;United-States;<=50K.
23;Private;HS-grad;9;Never-married;Machine-op-inspct;Male;40;United-States;<=50K.
44;Self-emp-not-inc;Masters;14;Married-civ-spouse;Exec-managerial;Female;60;United-States;>50K.
34;Private;HS-grad;9;Never-married;Exec-managerial;Male;50;United-States;<=50K.
19;Private;Some-college;10;Never-married;Prof-specialty;Male;10;United-States;<=50K.
51;?;HS-grad;9;Married-civ-spouse;?;Male;40;United-States;>50K.
46;State-gov;HS-grad;9;Married-civ-spouse;Transport-moving;Male;40;United-States;<=50K.
30;Private;Doctorate;16;Married-civ-spouse;Prof-specialty;Male;40;China;>50K.
37;Private;10th;6;Married-civ-spouse;Farming-fishing;Male;35;Mexico;<=50K.
56;Private;Prof-school;15;Married-civ-spouse;Prof-specialty;Male;45;United-States;>50K.
29;Private;HS-grad;9;Married-civ-spouse;Adm-clerical;Male;45;United-States;<=50K.
46;Self-emp-not-inc;Masters;14;Married-civ-spouse;Craft-repair;Male;50;United-States;>50K.
55;Private;HS-grad;9;Married-civ-spouse;Craft-repair;Male;40;United-States;<=50K.
45;Private;Bachelors;13;Divorced;Sales;Male;48;United-States;>50K.
34;Private;HS-grad;9;Married-spouse-absent;Handlers-cleaners;Male;40;Guatemala;<=50K.
45;?;9th;5;Separated;?;Male;40;United-States;<=50K.
41;Private;Bachelors;13;Never-married;Adm-clerical;Male;40;United-States;<=50K.
22;?;Some-college;10;Never-married;?;Male;20;United-States;<=50K.
34;Private;Prof-school;15;Married-civ-spouse;Prof-specialty;Male;50;United-States;>50K.
27;Private;HS-grad;9;Never-married;Craft-repair;Male;40;United-States;<=50K.
29;Private;Some-college;10;Never-married;Handlers-cleaners;Male;37;United-States;<=50K.
19;Federal-gov;12th;8;Never-married;Other-service;Female;30;United-States;<=50K.
47;Local-gov;Bachelors;13;Married-civ-spouse;Prof-specialty;Male;40;United-States;<=50K.
43;Self-emp-inc;Some-college;10;Married-civ-spouse;Exec-managerial;Male;50;United-States;>50K.
52;Private;Assoc-voc;11;Separated;Exec-managerial;Female;60;United-States;<=50K.
33;Self-emp-not-inc;Assoc-acdm;12;Divorced;Sales;Male;60;United-States;<=50K.
29;Private;9th;5;Married-civ-spouse;Transport-moving;Male;40;United-States;<=50K.
23;Private;HS-grad;9;Married-civ-spouse;Handlers-cleaners;Male;40;United-States;<=50K.
23;Private;Some-college;10;Never-married;Exec-managerial;Male;40;United-States;<=50K.
39;Private;Bachelors;13;Married-civ-spouse;Exec-managerial;Male;60;United-States;<=50K.
43;Private;5th-6th;3;Never-married;Machine-op-inspct;Female;40;Mexico;<=50K.
31;Private;HS-grad;9;Married-civ-spouse;Craft-repair;Male;40;United-States;>50K.
47;Self-emp-inc;HS-grad;9;Married-civ-spouse;Craft-repair;Male;40;United-States;>50K.
26;Private;HS-grad;9;Never-married;Adm-clerical;Male;60;United-States;<=50K.
58;Local-gov;Some-college;10;Never-married;Prof-specialty;Female;55;United-States;<=50K.
47;Self-emp-inc;Prof-school;15;Divorced;Prof-specialty;Male;50;United-States;>50K.
55;Private;Bachelors;13;Never-married;Tech-support;Female;38;United-States;<=50K.
26;Private;HS-grad;9;Married-civ-spouse;Exec-managerial;Female;40;United-States;<=50K.
28;Private;HS-grad;9;Never-married;Machine-op-inspct;Female;40;United-States;<=50K.
36;Private;HS-grad;9;Married-civ-spouse;Craft-repair;Male;40;United-States;<=50K.
40;Private;HS-grad;9;Married-civ-spouse;Sales;Male;50;United-States;<=50K.
19;Private;11th;7;Never-married;Other-service;Male;40;United-States;<=50K.
63;Self-emp-not-inc;Bachelors;13;Married-civ-spouse;Sales;Male;40;United-States;>50K.
42;Private;Bachelors;13;Married-civ-spouse;Transport-moving;Male;40;United-States;<=50K.
76;Private;9th;5;Married-civ-spouse;Protective-serv;Male;13;United-States;<=50K.
23;State-gov;Assoc-voc;11;Never-married;Tech-support;Female;40;United-States;<=50K.
38;Self-emp-not-inc;5th-6th;3;Never-married;Transport-moving;Male;40;United-States;<=50K.
33;State-gov;Masters;14;Never-married;Prof-specialty;Male;30;Japan;<=50K.
48;Local-gov;Masters;14;Married-civ-spouse;Prof-specialty;Male;40;United-States;>50K.
56;Private;Some-college;10;Divorced;Transport-moving;Male;40;United-States;>50K.
32;Private;HS-grad;9;Married-civ-spouse;Machine-op-inspct;Male;40;United-States;<=50K.
44;Local-gov;Some-college;10;Divorced;Prof-specialty;Female;25;United-States;<=50K.
27;Private;HS-grad;9;Divorced;Adm-clerical;Female;40;United-States;<=50K.
33;Federal-gov;Some-college;10;Never-married;Exec-managerial;Male;50;United-States;<=50K.
22;Private;5th-6th;3;Never-married;Handlers-cleaners;Male;40;Mexico;<=50K.
18;?;Some-college;10;Never-married;?;Female;20;United-States;<=50K.
44;Private;HS-grad;9;Married-civ-spouse;Craft-repair;Male;40;United-States;<=50K.
42;Private;HS-grad;9;Married-civ-spouse;Transport-moving;Male;60;United-States;<=50K.
34;Private;Some-college;10;Never-married;Adm-clerical;Female;40;United-States;<=50K.
45;Federal-gov;HS-grad;9;Married-civ-spouse;Adm-clerical;Male;40;United-States;<=50K.
57;Self-emp-inc;HS-grad;9;Married-civ-spouse;Sales;Male;40;Cuba;<=50K.
59;Local-gov;Bachelors;13;Married-civ-spouse;Prof-specialty;Male;40;United-States;>50K.
33;Federal-gov;Some-college;10;Married-civ-spouse;Exec-managerial;Female;40;United-States;>50K.
52;Private;HS-grad;9;Married-civ-spouse;Farming-fishing;Male;49;Mexico;<=50K.
17;Private;12th;8;Never-married;Sales;Female;15;United-States;<=50K.
29;Private;HS-grad;9;Never-married;Other-service;Male;30;Canada;<=50K.
63;Self-emp-not-inc;Bachelors;13;Married-civ-spouse;Sales;Male;30;United-States;>50K.
20;Private;Some-college;10;Never-married;Handlers-cleaners;Male;24;United-States;<=50K.
42;Self-emp-inc;Prof-school;15;Married-civ-spouse;Prof-specialty;Male;50;United-States;>50K.
50;Self-emp-not-inc;HS-grad;9;Married-civ-spouse;Farming-fishing;Male;50;United-States;<=50K.
55;Private;HS-grad;9;Married-civ-spouse;Priv-house-serv;Female;30;United-States;<=50K.
27;Private;Assoc-acdm;12;Married-civ-spouse;Adm-clerical;Female;25;United-States;<=50K.
28;Private;Bachelors;13;Married-civ-spouse;Exec-managerial;Male;45;United-States;<=50K.
55;Private;Assoc-voc;11;Married-civ-spouse;Machine-op-inspct;Male;45;United-States;<=50K.
44;Federal-gov;Some-college;10;Married-civ-spouse;Craft-repair;Male;40;United-States;<=50K.
53;State-gov;Some-college;10;Never-married;Protective-serv;Female;40;United-States;<=50K.
23;Private;HS-grad;9;Married-civ-spouse;Craft-repair;Male;40;United-States;<=50K.
25;Private;HS-grad;9;Divorced;Adm-clerical;Female;40;United-States;<=50K.
44;State-gov;Bachelors;13;Divorced;Prof-specialty;Female;40;United-States;<=50K.
55;Private;Masters;14;Married-civ-spouse;Exec-managerial;Male;40;United-States;>50K.
48;Self-emp-not-inc;Some-college;10;Married-civ-spouse;Prof-specialty;Male;35;United-States;>50K.
46;Private;HS-grad;9;Married-civ-spouse;Craft-repair;Male;40;United-States;<=50K.
26;Private;Some-college;10;Never-married;Transport-moving;Male;40;United-States;<=50K.
30;Private;7th-8th;4;Separated;Farming-fishing;Male;45;Mexico;<=50K.
32;Private;Masters;14;Married-civ-spouse;Prof-specialty;Male;40;United-States;>50K.
52;Private;HS-grad;9;Married-civ-spouse;Exec-managerial;Male;48;United-States;<=50K.
52;Private;HS-grad;9;Married-civ-spouse;Sales;Male;50;United-States;>50K.
39;Private;HS-grad;9;Separated;Sales;Female;47;United-States;<=50K.
57;Local-gov;Bachelors;13;Married-civ-spouse;Prof-specialty;Male;40;United-States;>50K.
21;Private;HS-grad;9;Never-married;Craft-repair;Male;40;United-States;<=50K.
22;State-gov;Some-college;10;Never-married;Other-service;Male;10;United-States;<=50K.
26;Private;Some-college;10;Married-civ-spouse;Machine-op-inspct;Male;40;United-States;<=50K.
26;State-gov;Some-college;10;Married-civ-spouse;Other-service;Male;40;United-States;<=50K.
44;Private;Assoc-voc;11;Married-civ-spouse;Exec-managerial;Male;40;United-States;>50K.
42;Private;Some-college;10;Divorced;Adm-clerical;Female;30;United-States;<=50K.
40;Private;Some-college;10;Married-civ-spouse;Transport-moving;Male;43;United-States;<=50K.
22;Private;11th;7;Never-married;Craft-repair;Male;45;United-States;<=50K.
62;Private;HS-grad;9;Married-civ-spouse;Craft-repair;Male;45;United-States;>50K.
44;Private;Some-college;10;Married-civ-spouse;Craft-repair;Male;40;United-States;<=50K.
18;?;Some-college;10;Never-married;?;Female;40;United-States;<=50K.
33;Self-emp-not-inc;1st-4th;2;Married-spouse-absent;Craft-repair;Male;40;Mexico;<=50K.
45;Private;HS-grad;9;Married-civ-spouse;Exec-managerial;Male;50;United-States;<=50K.
18;Private;11th;7;Married-civ-spouse;Handlers-cleaners;Male;40;United-States;<=50K.
32;Local-gov;Some-college;10;Never-married;Craft-repair;Male;40;United-States;<=50K.
33;Private;Doctorate;16;Never-married;Prof-specialty;Female;60;United-States;>50K.
20;Private;Some-college;10;Never-married;Prof-specialty;Male;15;United-States;<=50K.
68;Self-emp-not-inc;HS-grad;9;Married-civ-spouse;Farming-fishing;Male;20;United-States;<=50K.
61;Private;7th-8th;4;Married-civ-spouse;Sales;Male;50;United-States;>50K.
48;Private;Doctorate;16;Married-civ-spouse;Prof-specialty;Male;40;United-States;>50K.
45;Private;HS-grad;9;Married-civ-spouse;Sales;Male;40;United-States;<=50K.
36;Self-emp-not-inc;HS-grad;9;Married-civ-spouse;Sales;Female;40;United-States;>50K.
32;Federal-gov;HS-grad;9;Never-married;Other-service;Female;32;United-States;<=50K.
35;Private;Bachelors;13;Divorced;Other-service;Female;40;United-States;<=50K.
39;Private;HS-grad;9;Married-civ-spouse;Craft-repair;Male;40;United-States;<=50K.
53;Private;7th-8th;4;Married-civ-spouse;Machine-op-inspct;Male;40;United-States;<=50K.
30;Private;Some-college;10;Separated;Sales;Female;16;United-States;<=50K.
37;Private;HS-grad;9;Never-married;Transport-moving;Male;40;?;<=50K.
40;Private;Bachelors;13;Divorced;Protective-serv;Male;45;United-States;<=50K.
25;Private;Some-college;10;Never-married;Adm-clerical;Female;40;Jamaica;<=50K.
41;Private;HS-grad;9;Never-married;Sales;Female;60;United-States;<=50K.
52;Self-emp-not-inc;HS-grad;9;Married-civ-spouse;Farming-fishing;Male;98;United-States;>50K.
33;Private;HS-grad;9;Married-civ-spouse;Craft-repair;Male;40;United-States;<=50K.
28;Private;HS-grad;9;Never-married;Craft-repair;Male;40;United-States;<=50K.
25;Self-emp-not-inc;HS-grad;9;Married-civ-spouse;Craft-repair;Male;40;United-States;>50K.
53;Private;Some-college;10;Married-civ-spouse;Sales;Male;55;United-States;<=50K.
44;Private;1st-4th;2;Never-married;Other-service;Male;10;United-States;<=50K.
35;Private;HS-grad;9;Divorced;Exec-managerial;Female;40;United-States;<=50K.
38;Private;Some-college;10;Divorced;Craft-repair;Male;58;Poland;<=50K.
34;Private;HS-grad;9;Married-civ-spouse;Machine-op-inspct;Male;40;United-States;<=50K.
33;Private;HS-grad;9;Divorced;Machine-op-inspct;Female;40;United-States;<=50K.
24;State-gov;Some-college;10;Married-civ-spouse;Adm-clerical;Female;45;United-States;<=50K.
65;Local-gov;HS-grad;9;Widowed;Other-service;Female;25;United-States;<=50K.
29;Private;Assoc-acdm;12;Married-civ-spouse;Sales;Male;60;United-States;<=50K.
39;Self-emp-inc;Prof-school;15;Married-civ-spouse;Prof-specialty;Male;65;United-States;>50K.
46;Local-gov;Some-college;10;Married-civ-spouse;Protective-serv;Male;40;United-States;>50K.
37;Private;7th-8th;4;Married-civ-spouse;Farming-fishing;Male;60;United-States;<=50K.
47;State-gov;Masters;14;Married-civ-spouse;Exec-managerial;Male;47;United-States;>50K.
62;Private;Some-college;10;Married-civ-spouse;Other-service;Male;40;United-States;<=50K.
54;Self-emp-not-inc;HS-grad;9;Married-civ-spouse;Sales;Male;60;United-States;<=50K.
90;Private;Some-college;10;Never-married;Other-service;Male;35;United-States;<=50K.
33;Private;Assoc-acdm;12;Married-spouse-absent;Craft-repair;Male;20;United-States;<=50K.
57;Private;Some-college;10;Married-civ-spouse;Exec-managerial;Male;45;United-States;<=50K.
25;Private;Assoc-acdm;12;Never-married;Craft-repair;Male;40;United-States;<=50K.
44;Self-emp-inc;Some-college;10;Married-civ-spouse;Sales;Male;50;United-States;>50K.
52;Private;Bachelors;13;Married-spouse-absent;Other-service;Male;50;United-States;<=50K.
21;Private;Some-college;10;Never-married;Machine-op-inspct;Male;40;United-States;<=50K.
31;Private;HS-grad;9;Never-married;Other-service;Male;18;United-States;<=50K.
39;Private;Masters;14;Married-civ-spouse;Transport-moving;Male;40;Poland;<=50K.
59;Federal-gov;HS-grad;9;Widowed;Machine-op-inspct;Female;40;United-States;<=50K.
29;Self-emp-not-inc;HS-grad;9;Married-civ-spouse;Exec-managerial;Male;55;United-States;<=50K.
49;Private;7th-8th;4;Never-married;Prof-specialty;Male;45;United-States;<=50K.
34;Private;9th;5;Married-civ-spouse;Craft-repair;Male;40;United-States;<=50K.
22;Private;Bachelors;13;Never-married;Sales;Male;40;United-States;<=50K.
32;Private;Bachelors;13;Married-civ-spouse;Sales;Male;40;Puerto-Rico;<=50K.
39;State-gov;HS-grad;9;Divorced;Other-service;Female;40;United-States;<=50K.
46;Private;Masters;14;Married-civ-spouse;Prof-specialty;Male;60;United-States;<=50K.
50;Private;HS-grad;9;Married-civ-spouse;Craft-repair;Male;40;United-States;>50K.
34;Private;HS-grad;9;Never-married;Other-service;Male;40;United-States;<=50K.
28;Local-gov;Masters;14;Married-civ-spouse;Prof-specialty;Female;55;United-States;<=50K.
18;Private;12th;8;Never-married;Sales;Female;24;United-States;<=50K.
20;Private;HS-grad;9;Never-married;Sales;Male;30;United-States;<=50K.
20;Private;HS-grad;9;Never-married;Machine-op-inspct;Female;40;United-States;<=50K.
55;State-gov;Assoc-voc;11;Widowed;Exec-managerial;Female;38;United-States;<=50K.
22;Private;Some-college;10;Never-married;Sales;Female;40;United-States;<=50K.
60;Self-emp-not-inc;Masters;14;Married-civ-spouse;Exec-managerial;Male;40;United-States;<=50K.
40;Private;10th;6;Divorced;Craft-repair;Male;50;United-States;<=50K.
47;State-gov;Some-college;10;Married-civ-spouse;Adm-clerical;Female;30;United-States;<=50K.
23;Private;Bachelors;13;Never-married;Exec-managerial;Female;35;Canada;<=50K.
57;Local-gov;HS-grad;9;Widowed;Transport-moving;Female;40;United-States;<=50K.
52;Private;11th;7;Married-civ-spouse;Other-service;Male;40;United-States;<=50K.
42;Private;7th-8th;4;Widowed;Craft-repair;Male;40;United-States;<=50K.
25;Private;Assoc-acdm;12;Never-married;Handlers-cleaners;Male;20;United-States;<=50K.
49;Self-emp-inc;HS-grad;9;Married-civ-spouse;Adm-clerical;Female;40;United-States;>50K.
41;Federal-gov;Some-college;10;Never-married;Protective-serv;Male;40;United-States;<=50K.
40;State-gov;Assoc-voc;11;Married-civ-spouse;Other-service;Male;30;United-States;<=50K.
38;Private;Bachelors;13;Married-civ-spouse;Exec-managerial;Male;55;United-States;>50K.
58;Private;HS-grad;9;Never-married;Transport-moving;Male;40;Canada;<=50K.
26;Private;Bachelors;13;Never-married;Other-service;Female;35;United-States;<=50K.
57;Private;10th;6;Divorced;Adm-clerical;Female;70;Germany;<=50K.
28;Private;HS-grad;9;Married-civ-spouse;Sales;Male;60;United-States;<=50K.
42;Private;HS-grad;9;Separated;Sales;Female;40;United-States;<=50K.
28;Private;Some-college;10;Never-married;Exec-managerial;Male;55;United-States;<=50K.
17;?;9th;5;Never-married;?;Male;40;United-States;<=50K.
39;Self-emp-not-inc;9th;5;Married-civ-spouse;Craft-repair;Male;40;United-States;<=50K.
28;Private;HS-grad;9;Married-civ-spouse;Machine-op-inspct;Male;40;United-States;<=50K.
42;Private;HS-grad;9;Married-civ-spouse;Machine-op-inspct;Male;48;United-States;>50K.
51;Self-emp-not-inc;Some-college;10;Divorced;Sales;Female;50;United-States;<=50K.
27;Private;Some-college;10;Never-married;Adm-clerical;Female;39;United-States;<=50K.
41;Private;HS-grad;9;Divorced;Adm-clerical;Female;43;United-States;<=50K.
28;Private;Bachelors;13;Married-civ-spouse;Craft-repair;Male;40;United-States;<=50K.
54;Self-emp-not-inc;Some-college;10;Divorced;Farming-fishing;Female;30;United-States;>50K.
73;?;HS-grad;9;Widowed;?;Female;8;United-States;<=50K.
49;Private;HS-grad;9;Married-civ-spouse;Adm-clerical;Female;30;United-States;<=50K.
47;Private;Masters;14;Married-civ-spouse;Exec-managerial;Male;40;United-States;>50K.
27;Private;Some-college;10;Married-civ-spouse;Craft-repair;Male;49;United-States;<=50K.
42;Local-gov;Bachelors;13;Married-civ-spouse;Prof-specialty;Female;45;United-States;>50K.
32;Private;HS-grad;9;Married-civ-spouse;Adm-clerical;Female;40;United-States;<=50K.
32;Local-gov;HS-grad;9;Married-civ-spouse;Other-service;Male;41;United-States;<=50K.
27;Private;Masters;14;Never-married;Sales;Male;40;United-States;<=50K.
29;Private;HS-grad;9;Married-civ-spouse;Craft-repair;Male;40;United-States;>50K.
22;Private;Assoc-voc;11;Never-married;Prof-specialty;Male;30;United-States;<=50K.
41;Federal-gov;HS-grad;9;Married-civ-spouse;Adm-clerical;Male;40;United-States;>50K.
49;Local-gov;Some-college;10;Married-civ-spouse;Handlers-cleaners;Male;40;United-States;>50K.
58;Self-emp-not-inc;HS-grad;9;Married-civ-spouse;Farming-fishing;Male;50;United-States;<=50K.
41;Self-emp-not-inc;HS-grad;9;Married-civ-spouse;Farming-fishing;Male;40;United-States;>50K.
26;Private;9th;5;Married-civ-spouse;Craft-repair;Male;35;United-States;<=50K.
21;Private;HS-grad;9;Never-married;Sales;Male;55;United-States;<=50K.
32;?;HS-grad;9;Married-civ-spouse;?;Female;2;United-States;>50K.
37;Private;Bachelors;13;Married-civ-spouse;Exec-managerial;Male;50;United-States;>50K.
23;Private;Bachelors;13;Never-married;Sales;Male;20;United-States;<=50K.
42;Self-emp-not-inc;Some-college;10;Married-civ-spouse;Exec-managerial;Male;40;United-States;>50K.
25;Private;HS-grad;9;Married-civ-spouse;Sales;Male;26;United-States;>50K.
67;Private;Some-college;10;Divorced;Adm-clerical;Female;40;United-States;<=50K.
41;Local-gov;HS-grad;9;Divorced;Transport-moving;Female;38;United-States;<=50K.
